SYS_TIME[ms],T_CNT[us],T_PPS[us],T_CAN_RSV[us],DP[Pa],AOA[deg],AOS[deg],T_DP_SENSOR[degC],PS[hPa],H_PS[m],TAT[degC],HUM[%],RHO[kg/m^3],T_PS_SENSOR[degC],AX[m/s^2],AY[m/s^2],AZ[m/s^2],GX[deg/s],GY[deg/s],GZ[deg/s],EX[deg],EY[deg],EZ[deg],MICROSECONDS_PPS[us],cls[-],id[-],len[-],iTOW[ms],year[y],month[month],day[d],hour[h],minute[min],sec[s],valid[-],tAcc[ns],nano[ns],fixType[-],flags[-],flags2[-],numSV[-],lon[10^7 deg],lat[10^7 deg],height[mm],hMSL[mm],hAcc[mm],vAcc[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[10^5 deg],sAcc[mm/s],headAcc[10^5 deg],pDOP[-],reserved1[-],headVeh[10^5 deg],reserved2[-],DP_raw[Pa],AOA_raw[deg],AOS_raw[deg],T_DP_SENSOR_raw[degC],PS_raw[hPa],H_PS_raw[m],TAT_raw[degC],HUM_raw[%],RHO_raw[kg/m^3],T_PS_SENSOR_raw[degC],AX_raw[m/s^2],AY_raw[m/s^2],AZ_raw[m/s^2],GX_raw[deg/s],GY_raw[deg/s],GZ_raw[deg/s],EX_raw[deg],EY_raw[deg],EZ_raw[deg],MICROSECONDS_PPS_raw[us],cls_raw[-],id_raw[-],len_raw[-],iTOW_raw[ms],year_raw[y],month_raw[month],day_raw[d],hour_raw[h],minute_raw[min],sec_raw[s],valid_raw[-],tAcc_raw[ns],nano_raw[ns],fixType_raw[-],flags_raw[-],flags2_raw[-],numSV_raw[-],lon_raw[10^7 deg],lat_raw[10^7 deg],height_raw[mm],hMSL_raw[mm],hAcc_raw[mm],vAcc_raw[mm],velN_raw[mm/s],velE_raw[mm/s],velD_raw[mm/s],gSpeed_raw[mm/s],headMot_raw[10^5 deg],sAcc_raw[mm/s],headAcc_raw[10^5 deg],pDOP_raw[-],reserved1_raw[-],headVeh_raw[10^5 deg],reserved2_raw[-],ROLL[deg],PITCH[deg],YAW[deg],H_US[-],ELEV[-],RUDD[-],AIR_DATA_EN[-],ENV_DATA_EN[-],IMU_DATA_EN[-],GPS_DATA_EN[-],LOGGING_EN[-],LOGGING_MODE[-],AOA_OFFSET[deg],AOS_OFFSET[deg],DP_GAIN[-],DP_OFFSET[Pa],LPF_DP[-],LPF_SW[-],PS_INIT_VAL[hPa],H_PS_OFFSET[m],LPF_PS[-],LPF_SW[-],AX_OFFSET[m/s^2],AY_OFFSET[m/s^2],AZ_OFFSET[m/s^2],GX_OFFSET[deg/s],GY_OFFSET[deg/s],GZ_OFFSET[deg/s],EX_OFFSET[deg],EY_OFFSET[deg],EZ_OFFSET[deg],LPF_ACC[-],LPF_GYR[-],LPF_ACC_SW[-],LPF_GYR_SW[-],DP_err[-],AOA_err[-],AOS_err[-],T_DP_SENSOR_err[-],DP_GAIN_err[-],DP_OFFSET_err[-],AOA_OFFSET_err[-],AOS_OFFSET_err[-],LPF_DP_err[-],DP_I2C_err[-],AOA_I2C_err[-],AOS_I2C_err[-],SETTING_DATA_READ_err[-],PS_err[-],T_PS_SENSOR_err[-],TAT_err[-],HUM_err[-],PS_INIT_VAL_err[-],H_PS_OFFSET_err[-],H_PS_err[-],RHO_err[-],LPF_PS_err[-],ENV_I2C_err[-],SETTING_DATA_READ_err[-],AX_err[-],AY_err[-],AZ_err[-],GX_err[-],GY_err[-],GZ_err[-],LPF_ACC_err[-],LPF_GYR_err[-],AX_OFFSET_err[-],AY_OFFSET_err[-],AZ_OFFSET_err[-],GX_OFFSET_err[-],GY_OFFSET_err[-],GZ_OFFSET_err[-],EX_OFFSET_err[-],EY_OFFSET_err[-],EZ_OFFSET_err[-],SETTING_DATA_READ_err[-],PPS_INTV_err[-],MEG_INTV_err[-],CHK_SUM_err[-],INIT_err[-],SET_MODE_err[-],SEND_err[-],RECEIVE_err[-],AIRSPEED[m/s],WINDN[m/s],WINDE[m/s],WINDD[m/s],SD_DETECT[-],LOG_NUMBER[-],LOGGING_MODE[-],LOGGING_EN[-],CPU_USED[%],MEMORY_USED[%],
1202842,1,1202777813,0,2.1666667461395264,2.4112091064453125,-3.0135345458984375,22.3700008392334,999.4451293945312,-1.399119257926941,21.96917724609375,68.57251739501953,1.1723581552505493,43.59000015258789,-0.4218299984931946,-0.1863899976015091,9.8100004196167,0.3499999940395355,-0.7699999809265137,0.5600000023841858,-1.030540108680725,3.1742374897003174,-70.58273315429688,0,1,7,92,455210900,2022,5,27,6,26,32,55,3,900032579,3,1,10,16,1410136701,376320748,39222,2452,858,1049,11,42,-9,43,0,167,16852698,113,,0,,2.1666667461395264,-172.96875,-178.70361328125,22.3700008392334,999.47265625,0.0,21.96917724609375,68.57251739501953,1.225000023841858,43.59000015258789,-0.4218299984931946,-0.1863899976015091,9.8100004196167,0.3499999940395355,-0.7699999809265137,0.5600000023841858,-1.030540108680725,3.1742374897003174,-70.58273315429688,0,1,7,92,455210900,2022,5,27,6,26,32,55,3,900032579,3,1,10,16,1410136701,376320748,39222,2452,858,1049,11,42,-9,43,0,167,16852698,113,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,175.3799591064453,175.69007873535156,1.0,0.0,1.0,False,999.27880859375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9225643873214722,-1.1459811925888062,2.419283628463745,0.8661141395568848,True,4,1,True,62,56,
1202903,1,1202777813,0,2.299999952316284,2.4551544189453125,-2.9915618896484375,22.395000457763672,999.4445190429688,-1.3932275772094727,21.867704391479492,68.57251739501953,1.1728101968765259,43.59000015258789,-0.627839982509613,-0.16676999628543854,9.8100004196167,0.20999999344348907,-0.699999988079071,-0.20999999344348907,-1.1561318635940552,2.939333200454712,-70.57958984375,0,1,7,92,455211000,2022,5,27,6,26,33,55,3,33824,3,1,10,16,1410136700,376320748,39233,2463,858,1049,15,-13,-13,20,0,161,16852740,113,,0,,2.299999952316284,-172.9248046875,-178.681640625,22.395000457763672,999.460693359375,0.0,21.867704391479492,68.57251739501953,1.225000023841858,43.59000015258789,-0.627839982509613,-0.16676999628543854,9.8100004196167,0.20999999344348907,-0.699999988079071,-0.20999999344348907,-1.1561318635940552,2.939333200454712,-70.57958984375,0,1,7,92,455211000,2022,5,27,6,26,33,55,3,33824,3,1,10,16,1410136700,376320748,39233,2463,858,1049,15,-13,-13,20,0,161,16852740,113,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,175.3799591064453,175.69007873535156,1.0,0.0,1.0,False,999.27880859375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9804552793502808,-1.2252388000488281,2.7499027252197266,0.4038372039794922,True,4,1,True,54,56,
1202963,1,1202777813,0,2.1666667461395264,2.4771270751953125,-2.9915618896484375,22.3700008392334,999.451171875,-1.4528361558914185,21.886396408081055,68.60761260986328,1.172730803489685,43.599998474121094,-0.34334999322891235,-0.19619999825954437,9.751139640808105,0.14000000059604645,-0.5600000023841858,0.20999999344348907,-1.1986923217773438,2.7165191173553467,-70.55947875976562,0,1,7,92,455211000,2022,5,27,6,26,33,55,3,33824,3,1,10,16,1410136700,376320748,39233,2463,858,1049,15,-13,-13,20,0,161,16852740,113,,0,,2.1666667461395264,-172.90283203125,-178.681640625,22.3700008392334,999.515625,0.0,21.886396408081055,68.60761260986328,1.225000023841858,43.599998474121094,-0.34334999322891235,-0.19619999825954437,9.751139640808105,0.14000000059604645,-0.5600000023841858,0.20999999344348907,-1.1986923217773438,2.7165191173553467,-70.55947875976562,0,1,7,92,455211000,2022,5,27,6,26,33,55,3,33824,3,1,10,16,1410136700,376320748,39233,2463,858,1049,15,-13,-13,20,0,161,16852740,113,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,175.3799591064453,175.69007873535156,1.0,0.0,1.0,False,999.27880859375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.922258973121643,-1.2214070558547974,2.6985418796539307,-0.02389509603381157,True,4,1,True,54,56,
1203023,1,1202777813,0,2.2333333492279053,2.4551544189453125,-2.9915618896484375,22.3700008392334,999.449462890625,-1.436733365058899,21.91309928894043,68.60303497314453,1.1726099252700806,43.599998474121094,-0.6082199811935425,-0.16676999628543854,9.83942985534668,0.49000000953674316,-0.699999988079071,0.49000000953674316,-0.972112238407135,3.069632053375244,-70.5322265625,0,1,7,92,455211100,2022,5,27,6,26,33,55,3,100035070,3,1,10,17,1410136699,376320748,39246,2476,858,1049,17,-30,-24,34,0,162,16852782,111,,0,,2.2333333492279053,-172.9248046875,-178.681640625,22.3700008392334,999.44189453125,0.0,21.91309928894043,68.60303497314453,1.225000023841858,43.599998474121094,-0.6082199811935425,-0.16676999628543854,9.83942985534668,0.49000000953674316,-0.699999988079071,0.49000000953674316,-0.972112238407135,3.069632053375244,-70.5322265625,0,1,7,92,455211100,2022,5,27,6,26,33,55,3,100035070,3,1,10,17,1410136699,376320748,39246,2476,858,1049,17,-30,-24,34,0,162,16852782,111,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,175.3799591064453,175.69007873535156,1.0,0.0,1.0,False,999.27880859375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9517086744308472,-1.1272203922271729,2.5425264835357666,0.7900810837745667,True,4,1,True,53,56,
1203083,1,1202777813,0,2.383333444595337,2.4771270751953125,-2.9695892333984375,22.405000686645508,999.4448852539062,-1.393580675125122,21.942474365234375,68.61829376220703,1.1724711656570435,43.599998474121094,-0.4512600004673004,-0.20600999891757965,9.780570030212402,0.14000000059604645,-0.41999998688697815,0.0,-1.4082878828048706,2.634941339492798,-70.5321044921875,0,1,7,92,455211200,2022,5,27,6,26,33,55,3,200036315,3,1,10,17,1410136698,376320748,39232,2462,858,1049,-17,-10,-9,20,0,171,16852830,111,,0,,2.383333444595337,-172.90283203125,-178.65966796875,22.405000686645508,999.435302734375,0.0,21.942474365234375,68.61829376220703,1.225000023841858,43.599998474121094,-0.4512600004673004,-0.20600999891757965,9.780570030212402,0.14000000059604645,-0.41999998688697815,0.0,-1.4082878828048706,2.634941339492798,-70.5321044921875,0,1,7,92,455211200,2022,5,27,6,26,33,55,3,200036315,3,1,10,17,1410136698,376320748,39232,2462,858,1049,-17,-10,-9,20,0,171,16852830,111,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,175.3799591064453,175.69007873535156,1.0,0.0,1.0,False,999.27880859375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,2.016305446624756,-1.3781883716583252,2.7727744579315186,-0.34217000007629395,True,4,1,True,54,56,
1203143,1,1202777813,0,2.2166666984558105,2.4551544189453125,-2.9256439208984375,22.389999389648438,999.4517211914062,-1.4555416107177734,21.886396408081055,68.59540557861328,1.1727327108383179,43.599998474121094,-0.5297399759292603,-0.17657999694347382,9.751139640808105,0.41999998688697815,-0.8399999737739563,0.6299999952316284,-0.9931477308273315,3.1056904792785645,-70.48110961914062,0,1,7,92,455211200,2022,5,27,6,26,33,55,3,200036315,3,1,10,17,1410136698,376320748,39232,2462,858,1049,-17,-10,-9,20,0,171,16852830,111,,0,,2.2166666984558105,-172.9248046875,-178.61572265625,22.389999389648438,999.52099609375,0.0,21.886396408081055,68.59540557861328,1.225000023841858,43.599998474121094,-0.5297399759292603,-0.17657999694347382,9.751139640808105,0.41999998688697815,-0.8399999737739563,0.6299999952316284,-0.9931477308273315,3.1056904792785645,-70.48110961914062,0,1,7,92,455211200,2022,5,27,6,26,33,55,3,200036315,3,1,10,17,1410136698,376320748,39232,2462,858,1049,-17,-10,-9,20,0,171,16852830,111,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,175.3799591064453,175.69007873535156,1.0,0.0,1.0,False,999.27880859375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9443107843399048,-1.1032295227050781,2.4315218925476074,0.8829055428504944,True,4,1,True,53,56,
1203203,1,1202777813,0,2.2166666984558105,2.4771270751953125,-2.9915618896484375,22.375,999.4500122070312,-1.439582347869873,21.942474365234375,68.54810333251953,1.1724858283996582,43.599998474121094,-0.5591700077056885,-0.1863899976015091,9.83942985534668,0.20999999344348907,-0.5600000023841858,0.3499999940395355,-1.1650025844573975,3.023068904876709,-70.468505859375,0,1,7,92,455211300,2022,5,27,6,26,33,55,3,300037561,3,1,10,17,1410136698,376320748,39234,2464,858,1049,-13,21,-9,24,0,159,16852874,111,,0,,2.2166666984558105,-172.90283203125,-178.681640625,22.375,999.5048828125,0.0,21.942474365234375,68.54810333251953,1.225000023841858,43.599998474121094,-0.5591700077056885,-0.1863899976015091,9.83942985534668,0.20999999344348907,-0.5600000023841858,0.3499999940395355,-1.1650025844573975,3.023068904876709,-70.468505859375,0,1,7,92,455211300,2022,5,27,6,26,33,55,3,300037561,3,1,10,17,1410136698,376320748,39234,2464,858,1049,-13,21,-9,24,0,159,16852874,111,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,175.3799591064453,175.69007873535156,1.0,0.0,1.0,False,999.27880859375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9445154666900635,-1.3038617372512817,2.5691661834716797,0.503499448299408,True,4,1,True,54,56,
1203263,1,1202777813,0,2.1500000953674316,2.4112091064453125,-3.0135345458984375,22.399999618530273,999.4497680664062,-1.439986228942871,22.025253295898438,68.62592315673828,1.1721069812774658,43.61000061035156,-0.44144999980926514,-0.19619999825954437,9.74133014678955,0.20999999344348907,-0.6299999952316284,0.9100000262260437,-1.201961874961853,2.8029205799102783,-70.43426513671875,0,1,7,92,455211300,2022,5,27,6,26,33,55,3,300037561,3,1,10,17,1410136698,376320748,39234,2464,858,1049,-13,21,-9,24,0,159,16852874,111,,0,,2.1500000953674316,-172.96875,-178.70361328125,22.399999618530273,999.478271484375,0.0,22.025253295898438,68.62592315673828,1.225000023841858,43.61000061035156,-0.44144999980926514,-0.19619999825954437,9.74133014678955,0.20999999344348907,-0.6299999952316284,0.9100000262260437,-1.201961874961853,2.8029205799102783,-70.43426513671875,0,1,7,92,455211300,2022,5,27,6,26,33,55,3,300037561,3,1,10,17,1410136698,376320748,39234,2464,858,1049,-13,21,-9,24,0,159,16852874,111,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,175.3799591064453,175.69007873535156,1.0,0.0,1.0,False,999.27880859375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.915360927581787,-1.4524000883102417,2.6020100116729736,0.1301288604736328,True,4,1,True,54,56,
1203323,1,1202777813,0,2.299999952316284,2.4551544189453125,-2.9695892333984375,22.395000457763672,999.4503173828125,-1.441792368888855,21.841001510620117,68.62744903564453,1.1729298830032349,43.599998474121094,-0.5591700077056885,-0.19619999825954437,9.927720069885254,-0.07000000029802322,-0.6299999952316284,0.20999999344348907,-1.117617130279541,3.0139052867889404,-70.41998291015625,0,1,7,92,455211400,2022,5,27,6,26,33,55,3,400038806,3,1,10,17,1410136698,376320748,39244,2473,858,1049,-1,12,-16,12,0,129,16852908,111,,0,,2.299999952316284,-172.9248046875,-178.65966796875,22.395000457763672,999.42919921875,0.0,21.841001510620117,68.62744903564453,1.225000023841858,43.599998474121094,-0.5591700077056885,-0.19619999825954437,9.927720069885254,-0.07000000029802322,-0.6299999952316284,0.20999999344348907,-1.117617130279541,3.0139052867889404,-70.41998291015625,0,1,7,92,455211400,2022,5,27,6,26,33,55,3,400038806,3,1,10,17,1410136698,376320748,39244,2473,858,1049,-1,12,-16,12,0,129,16852908,111,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,175.3799591064453,175.69007873535156,1.0,0.0,1.0,False,999.27880859375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9803543090820312,-1.3802530765533447,2.5703864097595215,0.5946210622787476,True,4,1,True,53,56,
1203383,1,1202777813,0,2.183333396911621,2.4551544189453125,-2.9915618896484375,22.40999984741211,999.4462280273438,-1.4099441766738892,21.96917724609375,68.56336212158203,1.1723604202270508,43.61000061035156,-0.39239999651908875,-0.20600999891757965,9.800189971923828,0.14000000059604645,-0.5600000023841858,0.14000000059604645,-1.1173787117004395,2.7436673641204834,-70.39590454101562,0,1,7,92,455211500,2022,5,27,6,26,33,55,3,500040052,3,1,10,17,1410136697,376320747,39248,2478,858,1049,2,-10,-15,10,0,147,16852946,111,,0,,2.183333396911621,-172.9248046875,-178.681640625,22.40999984741211,999.45654296875,0.0,21.96917724609375,68.56336212158203,1.225000023841858,43.61000061035156,-0.39239999651908875,-0.20600999891757965,9.800189971923828,0.14000000059604645,-0.5600000023841858,0.14000000059604645,-1.1173787117004395,2.7436673641204834,-70.39590454101562,0,1,7,92,455211500,2022,5,27,6,26,33,55,3,500040052,3,1,10,17,1410136697,376320747,39248,2478,858,1049,2,-10,-15,10,0,147,16852946,111,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,175.3799591064453,175.69007873535156,1.0,0.0,1.0,False,999.27880859375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9299428462982178,-1.4201101064682007,2.599050283432007,0.11631645262241364,True,4,1,True,54,56,
