SYS_TIME[ms],T_CNT[us],T_PPS[us],T_CAN_RSV[us],DP[Pa],AOA[deg],AOS[deg],T_DP_SENSOR[degC],PS[hPa],H_PS[m],TAT[degC],HUM[%],RHO[kg/m^3],T_PS_SENSOR[degC],AX[m/s^2],AY[m/s^2],AZ[m/s^2],GX[deg/s],GY[deg/s],GZ[deg/s],EX[deg],EY[deg],EZ[deg],MICROSECONDS_PPS[us],cls[-],id[-],len[-],iTOW[ms],year[y],month[month],day[d],hour[h],minute[min],sec[s],valid[-],tAcc[ns],nano[ns],fixType[-],flags[-],flags2[-],numSV[-],lon[10^7 deg],lat[10^7 deg],height[mm],hMSL[mm],hAcc[mm],vAcc[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[10^5 deg],sAcc[mm/s],headAcc[10^5 deg],pDOP[-],reserved1[-],headVeh[10^5 deg],reserved2[-],DP_raw[Pa],AOA_raw[deg],AOS_raw[deg],T_DP_SENSOR_raw[degC],PS_raw[hPa],H_PS_raw[m],TAT_raw[degC],HUM_raw[%],RHO_raw[kg/m^3],T_PS_SENSOR_raw[degC],AX_raw[m/s^2],AY_raw[m/s^2],AZ_raw[m/s^2],GX_raw[deg/s],GY_raw[deg/s],GZ_raw[deg/s],EX_raw[deg],EY_raw[deg],EZ_raw[deg],MICROSECONDS_PPS_raw[us],cls_raw[-],id_raw[-],len_raw[-],iTOW_raw[ms],year_raw[y],month_raw[month],day_raw[d],hour_raw[h],minute_raw[min],sec_raw[s],valid_raw[-],tAcc_raw[ns],nano_raw[ns],fixType_raw[-],flags_raw[-],flags2_raw[-],numSV_raw[-],lon_raw[10^7 deg],lat_raw[10^7 deg],height_raw[mm],hMSL_raw[mm],hAcc_raw[mm],vAcc_raw[mm],velN_raw[mm/s],velE_raw[mm/s],velD_raw[mm/s],gSpeed_raw[mm/s],headMot_raw[10^5 deg],sAcc_raw[mm/s],headAcc_raw[10^5 deg],pDOP_raw[-],reserved1_raw[-],headVeh_raw[10^5 deg],reserved2_raw[-],ROLL[deg],PITCH[deg],YAW[deg],H_US[-],ELEV[-],RUDD[-],AIR_DATA_EN[-],ENV_DATA_EN[-],IMU_DATA_EN[-],GPS_DATA_EN[-],LOGGING_EN[-],LOGGING_MODE[-],AOA_OFFSET[deg],AOS_OFFSET[deg],DP_GAIN[-],DP_OFFSET[Pa],LPF_DP[-],LPF_SW[-],PS_INIT_VAL[hPa],H_PS_OFFSET[m],LPF_PS[-],LPF_SW[-],AX_OFFSET[m/s^2],AY_OFFSET[m/s^2],AZ_OFFSET[m/s^2],GX_OFFSET[deg/s],GY_OFFSET[deg/s],GZ_OFFSET[deg/s],EX_OFFSET[deg],EY_OFFSET[deg],EZ_OFFSET[deg],LPF_ACC[-],LPF_GYR[-],LPF_ACC_SW[-],LPF_GYR_SW[-],DP_err[-],AOA_err[-],AOS_err[-],T_DP_SENSOR_err[-],DP_GAIN_err[-],DP_OFFSET_err[-],AOA_OFFSET_err[-],AOS_OFFSET_err[-],LPF_DP_err[-],DP_I2C_err[-],AOA_I2C_err[-],AOS_I2C_err[-],SETTING_DATA_READ_err[-],PS_err[-],T_PS_SENSOR_err[-],TAT_err[-],HUM_err[-],PS_INIT_VAL_err[-],H_PS_OFFSET_err[-],H_PS_err[-],RHO_err[-],LPF_PS_err[-],ENV_I2C_err[-],SETTING_DATA_READ_err[-],AX_err[-],AY_err[-],AZ_err[-],GX_err[-],GY_err[-],GZ_err[-],LPF_ACC_err[-],LPF_GYR_err[-],AX_OFFSET_err[-],AY_OFFSET_err[-],AZ_OFFSET_err[-],GX_OFFSET_err[-],GY_OFFSET_err[-],GZ_OFFSET_err[-],EX_OFFSET_err[-],EY_OFFSET_err[-],EZ_OFFSET_err[-],SETTING_DATA_READ_err[-],PPS_INTV_err[-],MEG_INTV_err[-],CHK_SUM_err[-],INIT_err[-],SET_MODE_err[-],SEND_err[-],RECEIVE_err[-],AIRSPEED[m/s],WINDN[m/s],WINDE[m/s],WINDD[m/s],SD_DETECT[-],LOG_NUMBER[-],LOGGING_MODE[-],LOGGING_EN[-],CPU_USED[%],MEMORY_USED[%],
1202889,1,1202721273,0,2.316666603088379,-1.901611328125,-5.9121246337890625,22.114999771118164,999.6133422851562,-2.683563709259033,21.264209747314453,71.08567810058594,1.1754213571548462,43.88999938964844,-0.09809999912977219,-0.12752999365329742,9.819809913635254,0.3499999940395355,-0.49000000953674316,0.2800000011920929,-0.9091318249702454,0.8259130120277405,105.30796813964844,0,1,7,92,455206000,2022,5,27,6,26,28,55,2,455551,3,3,10,15,1410137104,376320812,59566,22795,649,749,21,-41,10,46,0,150,17314428,117,,0,,2.316666603088379,166.88232421875,-161.455078125,22.114999771118164,999.66357421875,0.0,21.264209747314453,71.08567810058594,1.225000023841858,43.88999938964844,-0.09809999912977219,-0.12752999365329742,9.819809913635254,0.3499999940395355,-0.49000000953674316,0.2800000011920929,-0.9091318249702454,0.8259130120277405,105.30796813964844,0,1,7,92,455206000,2022,5,27,6,26,28,55,2,455551,3,3,10,15,1410137104,376320812,59566,22795,649,749,21,-41,10,46,0,150,17314428,117,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,999.2973022460938,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9854090213775635,-1.6107546091079712,2.4880988597869873,-0.17198427021503448,True,4,1,True,77,56,
1202951,1,1202721273,0,2.200000047683716,-1.879638671875,-5.9340972900390625,22.145000457763672,999.6128540039062,-2.682274103164673,21.41908836364746,71.17112731933594,1.1747167110443115,43.88999938964844,-0.2844899892807007,-0.1863899976015091,9.780570030212402,0.0,-0.20999999344348907,0.49000000953674316,-0.9748616218566895,1.0247442722320557,105.32280731201172,0,1,7,92,455206100,2022,5,27,6,26,28,55,2,100455538,3,3,10,15,1410137104,376320812,59567,22797,649,749,-1,31,6,31,0,156,17314470,117,,0,,2.200000047683716,166.904296875,-161.47705078125,22.145000457763672,999.58447265625,0.0,21.41908836364746,71.17112731933594,1.225000023841858,43.88999938964844,-0.2844899892807007,-0.1863899976015091,9.780570030212402,0.0,-0.20999999344348907,0.49000000953674316,-0.9748616218566895,1.0247442722320557,105.32280731201172,0,1,7,92,455206100,2022,5,27,6,26,28,55,2,100455538,3,3,10,15,1410137104,376320812,59567,22797,649,749,-1,31,6,31,0,156,17314470,117,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,999.2973022460938,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9353511333465576,-1.6184258460998535,2.3800904750823975,0.0478583388030529,True,4,1,True,53,56,
1203011,1,1202721273,0,2.200000047683716,-1.945556640625,-6.0219879150390625,22.135000228881836,999.6098022460938,-2.6574575901031494,21.363012313842773,71.15892028808594,1.1749660968780518,43.88999938964844,-0.05886000022292137,-0.12752999365329742,9.770759582519531,0.20999999344348907,-0.6299999952316284,0.20999999344348907,-0.9504120945930481,0.659091591835022,105.35363006591797,0,1,7,92,455206100,2022,5,27,6,26,28,55,2,100455538,3,3,10,15,1410137104,376320812,59567,22797,649,749,-1,31,6,31,0,156,17314470,117,,0,,2.200000047683716,166.83837890625,-161.56494140625,22.135000228881836,999.5986328125,0.0,21.363012313842773,71.15892028808594,1.225000023841858,43.88999938964844,-0.05886000022292137,-0.12752999365329742,9.770759582519531,0.20999999344348907,-0.6299999952316284,0.20999999344348907,-0.9504120945930481,0.659091591835022,105.35363006591797,0,1,7,92,455206100,2022,5,27,6,26,28,55,2,100455538,3,3,10,15,1410137104,376320812,59567,22797,649,749,-1,31,6,31,0,156,17314470,117,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,999.2973022460938,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9351457357406616,-1.6293319463729858,2.450404167175293,-0.26881566643714905,True,4,1,True,54,56,
1203071,1,1202721273,0,2.383333444595337,-1.879638671875,-6.0000152587890625,22.165000915527344,999.6204223632812,-2.743605375289917,21.33363914489746,71.14060974121094,1.175112009048462,43.88999938964844,-0.1863899976015091,-0.19619999825954437,9.643230438232422,0.14000000059604645,-0.41999998688697815,0.2800000011920929,-1.2392642498016357,1.116748571395874,105.35528564453125,0,1,7,92,455206200,2022,5,27,6,26,28,55,2,200455525,3,3,10,15,1410137104,376320812,59567,22797,649,749,-2,-6,6,6,0,151,17314508,117,,0,,2.383333444595337,166.904296875,-161.54296875,22.165000915527344,999.655517578125,0.0,21.33363914489746,71.14060974121094,1.225000023841858,43.88999938964844,-0.1863899976015091,-0.19619999825954437,9.643230438232422,0.14000000059604645,-0.41999998688697815,0.2800000011920929,-1.2392642498016357,1.116748571395874,105.35528564453125,0,1,7,92,455206200,2022,5,27,6,26,28,55,2,200455525,3,3,10,15,1410137104,376320812,59567,22797,649,749,-2,-6,6,6,0,151,17314508,117,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,999.2973022460938,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,2.014038562774658,-1.857188105583191,2.3906235694885254,0.33016109466552734,True,4,1,True,53,56,
1203131,1,1202721273,0,2.299999952316284,-1.923583984375,-6.0000152587890625,22.114999771118164,999.6220092773438,-2.7604832649230957,21.405736923217773,71.18638610839844,1.1747854948043823,43.88999938964844,-0.11772000044584274,-0.15695999562740326,9.653039932250977,0.699999988079071,-0.41999998688697815,-0.14000000059604645,-1.0020049810409546,0.5694192051887512,105.36712646484375,0,1,7,92,455206300,2022,5,27,6,26,28,55,2,300455512,3,3,10,15,1410137104,376320813,59571,22800,648,749,-4,-27,5,28,0,153,17314548,117,,0,,2.299999952316284,166.8603515625,-161.54296875,22.114999771118164,999.612060546875,0.0,21.405736923217773,71.18638610839844,1.225000023841858,43.88999938964844,-0.11772000044584274,-0.15695999562740326,9.653039932250977,0.699999988079071,-0.41999998688697815,-0.14000000059604645,-1.0020049810409546,0.5694192051887512,105.36712646484375,0,1,7,92,455206300,2022,5,27,6,26,28,55,2,300455512,3,3,10,15,1410137104,376320813,59571,22800,648,749,-4,-27,5,28,0,153,17314548,117,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,999.2973022460938,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9787895679473877,-1.7103217840194702,2.5068013668060303,-0.3243183493614197,True,4,1,True,54,56,
1203191,1,1202721273,0,2.2666666507720947,-1.879638671875,-6.0659332275390625,22.135000228881836,999.62255859375,-2.7649576663970947,21.306934356689453,71.22605895996094,1.1752249002456665,43.88999938964844,-0.08828999847173691,-0.11772000044584274,9.711899757385254,-0.2800000011920929,-0.20999999344348907,0.5600000023841858,-0.939602792263031,0.8232459425926208,105.3879623413086,0,1,7,92,455206300,2022,5,27,6,26,28,55,2,300455512,3,3,10,15,1410137104,376320813,59571,22800,648,749,-4,-27,5,28,0,153,17314548,117,,0,,2.2666666507720947,166.904296875,-161.60888671875,22.135000228881836,999.6982421875,0.0,21.306934356689453,71.22605895996094,1.225000023841858,43.88999938964844,-0.08828999847173691,-0.11772000044584274,9.711899757385254,-0.2800000011920929,-0.20999999344348907,0.5600000023841858,-0.939602792263031,0.8232459425926208,105.3879623413086,0,1,7,92,455206300,2022,5,27,6,26,28,55,2,300455512,3,3,10,15,1410137104,376320813,59571,22800,648,749,-4,-27,5,28,0,153,17314548,117,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,999.2973022460938,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9640309810638428,-1.6908999681472778,2.5968637466430664,-0.23987630009651184,True,4,1,True,53,56,
1203252,1,1202721273,0,2.183333396911621,-1.857666015625,-6.0219879150390625,22.135000228881836,999.6226196289062,-2.7681849002838135,21.363012313842773,71.08872985839844,1.1749892234802246,43.88999938964844,-0.2256300002336502,-0.17657999694347382,9.692279815673828,0.699999988079071,-0.41999998688697815,0.14000000059604645,-0.7869330048561096,1.0059369802474976,105.3993148803711,0,1,7,92,455206400,2022,5,27,6,26,28,55,2,400455499,3,3,10,15,1410137105,376320813,59567,22796,648,749,-9,18,7,20,0,151,17314586,117,,0,,2.183333396911621,166.92626953125,-161.56494140625,22.135000228881836,999.57763671875,0.0,21.363012313842773,71.08872985839844,1.225000023841858,43.88999938964844,-0.2256300002336502,-0.17657999694347382,9.692279815673828,0.699999988079071,-0.41999998688697815,0.14000000059604645,-0.7869330048561096,1.0059369802474976,105.3993148803711,0,1,7,92,455206400,2022,5,27,6,26,28,55,2,400455499,3,3,10,15,1410137105,376320813,59567,22796,648,749,-9,18,7,20,0,151,17314586,117,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,999.2973022460938,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9277827739715576,-1.5351150035858154,2.4948720932006836,-0.18358367681503296,True,4,1,True,53,56,
1203312,1,1202721273,0,2.2333333492279053,-1.857666015625,-5.9560699462890625,22.190000534057617,999.6194458007812,-2.7389988899230957,21.41908836364746,71.12077331542969,1.1747301816940308,43.900001525878906,-0.039239998906850815,-0.11772000044584274,9.8100004196167,0.699999988079071,-0.699999988079071,0.2800000011920929,-0.7549268007278442,0.7262927889823914,105.42619323730469,0,1,7,92,455206400,2022,5,27,6,26,28,55,2,400455499,3,3,10,15,1410137105,376320813,59567,22796,648,749,-9,18,7,20,0,151,17314586,117,,0,,2.2333333492279053,166.92626953125,-161.4990234375,22.190000534057617,999.572998046875,0.0,21.41908836364746,71.12077331542969,1.225000023841858,43.900001525878906,-0.039239998906850815,-0.11772000044584274,9.8100004196167,0.699999988079071,-0.699999988079071,0.2800000011920929,-0.7549268007278442,0.7262927889823914,105.42619323730469,0,1,7,92,455206400,2022,5,27,6,26,28,55,2,400455499,3,3,10,15,1410137105,376320813,59567,22796,648,749,-9,18,7,20,0,151,17314586,117,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,999.2973022460938,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.9499465227127075,-1.5234603881835938,2.3460075855255127,-0.5335933566093445,True,4,1,True,54,56,
1203372,1,1202721273,0,2.2833333015441895,-1.901611328125,-5.9780426025390625,22.1299991607666,999.6143188476562,-2.695657968521118,21.405736923217773,71.13908386230469,1.1747817993164062,43.88999938964844,-0.20600999891757965,-0.23544000089168549,9.73151969909668,0.41999998688697815,-0.6299999952316284,0.41999998688697815,-1.019845962524414,0.8330997228622437,105.44143676757812,0,1,7,92,455206500,2022,5,27,6,26,28,55,2,500455486,3,3,10,15,1410137105,376320813,59568,22798,648,749,6,20,3,21,0,158,17314626,117,,0,,2.2833333015441895,166.88232421875,-161.52099609375,22.1299991607666,999.58642578125,0.0,21.405736923217773,71.13908386230469,1.225000023841858,43.88999938964844,-0.20600999891757965,-0.23544000089168549,9.73151969909668,0.41999998688697815,-0.6299999952316284,0.41999998688697815,-1.019845962524414,0.8330997228622437,105.44143676757812,0,1,7,92,455206500,2022,5,27,6,26,28,55,2,500455486,3,3,10,15,1410137105,376320813,59568,22798,648,749,6,20,3,21,0,158,17314626,117,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,999.2973022460938,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.971610188484192,-1.7830679416656494,2.4449715614318848,-0.0669502392411232,True,4,1,True,53,56,
1203432,1,1202721273,0,2.4666666984558105,-1.879638671875,-6.0219879150390625,22.170000076293945,999.6178588867188,-2.72187876701355,21.320287704467773,71.22758483886719,1.1751587390899658,43.900001525878906,-0.08828999847173691,-0.11772000044584274,9.74133014678955,0.49000000953674316,-0.5600000023841858,0.14000000059604645,-0.7215628027915955,0.575609564781189,105.45436096191406,0,1,7,92,455206600,2022,5,27,6,26,28,55,2,600455473,3,3,10,15,1410137105,376320813,59576,22805,648,749,8,-13,-4,15,0,153,17314666,117,,0,,2.4666666984558105,166.904296875,-161.56494140625,22.170000076293945,999.62646484375,0.0,21.320287704467773,71.22758483886719,1.225000023841858,43.900001525878906,-0.08828999847173691,-0.11772000044584274,9.74133014678955,0.49000000953674316,-0.5600000023841858,0.14000000059604645,-0.7215628027915955,0.575609564781189,105.45436096191406,0,1,7,92,455206600,2022,5,27,6,26,28,55,2,600455473,3,3,10,15,1410137105,376320813,59576,22805,648,749,8,-13,-4,15,0,153,17314666,117,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,999.2973022460938,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,2.048905611038208,-1.599098801612854,2.446857213973999,-0.7670164704322815,True,4,1,True,54,56,
