SYS_TIME[ms],T_CNT[us],T_PPS[us],T_CAN_RSV[us],DP[Pa],AOA[deg],AOS[deg],T_DP_SENSOR[degC],PS[hPa],H_PS[m],TAT[degC],HUM[%],RHO[kg/m^3],T_PS_SENSOR[degC],AX[m/s^2],AY[m/s^2],AZ[m/s^2],GX[deg/s],GY[deg/s],GZ[deg/s],EX[deg],EY[deg],EZ[deg],MICROSECONDS_PPS[us],cls[-],id[-],len[-],iTOW[ms],year[y],month[month],day[d],hour[h],minute[min],sec[s],valid[-],tAcc[ns],nano[ns],fixType[-],flags[-],flags2[-],numSV[-],lon[10^7 deg],lat[10^7 deg],height[mm],hMSL[mm],hAcc[mm],vAcc[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[10^5 deg],sAcc[mm/s],headAcc[10^5 deg],pDOP[-],reserved1[-],headVeh[10^5 deg],reserved2[-],DP_raw[Pa],AOA_raw[deg],AOS_raw[deg],T_DP_SENSOR_raw[degC],PS_raw[hPa],H_PS_raw[m],TAT_raw[degC],HUM_raw[%],RHO_raw[kg/m^3],T_PS_SENSOR_raw[degC],AX_raw[m/s^2],AY_raw[m/s^2],AZ_raw[m/s^2],GX_raw[deg/s],GY_raw[deg/s],GZ_raw[deg/s],EX_raw[deg],EY_raw[deg],EZ_raw[deg],MICROSECONDS_PPS_raw[us],cls_raw[-],id_raw[-],len_raw[-],iTOW_raw[ms],year_raw[y],month_raw[month],day_raw[d],hour_raw[h],minute_raw[min],sec_raw[s],valid_raw[-],tAcc_raw[ns],nano_raw[ns],fixType_raw[-],flags_raw[-],flags2_raw[-],numSV_raw[-],lon_raw[10^7 deg],lat_raw[10^7 deg],height_raw[mm],hMSL_raw[mm],hAcc_raw[mm],vAcc_raw[mm],velN_raw[mm/s],velE_raw[mm/s],velD_raw[mm/s],gSpeed_raw[mm/s],headMot_raw[10^5 deg],sAcc_raw[mm/s],headAcc_raw[10^5 deg],pDOP_raw[-],reserved1_raw[-],headVeh_raw[10^5 deg],reserved2_raw[-],ROLL[deg],PITCH[deg],YAW[deg],H_US[-],ELEV[-],RUDD[-],AIR_DATA_EN[-],ENV_DATA_EN[-],IMU_DATA_EN[-],GPS_DATA_EN[-],LOGGING_EN[-],LOGGING_MODE[-],AOA_OFFSET[deg],AOS_OFFSET[deg],DP_GAIN[-],DP_OFFSET[Pa],LPF_DP[-],LPF_SW[-],PS_INIT_VAL[hPa],H_PS_OFFSET[m],LPF_PS[-],LPF_SW[-],AX_OFFSET[m/s^2],AY_OFFSET[m/s^2],AZ_OFFSET[m/s^2],GX_OFFSET[deg/s],GY_OFFSET[deg/s],GZ_OFFSET[deg/s],EX_OFFSET[deg],EY_OFFSET[deg],EZ_OFFSET[deg],LPF_ACC[-],LPF_GYR[-],LPF_ACC_SW[-],LPF_GYR_SW[-],DP_err[-],AOA_err[-],AOS_err[-],T_DP_SENSOR_err[-],DP_GAIN_err[-],DP_OFFSET_err[-],AOA_OFFSET_err[-],AOS_OFFSET_err[-],LPF_DP_err[-],DP_I2C_err[-],AOA_I2C_err[-],AOS_I2C_err[-],SETTING_DATA_READ_err[-],PS_err[-],T_PS_SENSOR_err[-],TAT_err[-],HUM_err[-],PS_INIT_VAL_err[-],H_PS_OFFSET_err[-],H_PS_err[-],RHO_err[-],LPF_PS_err[-],ENV_I2C_err[-],SETTING_DATA_READ_err[-],AX_err[-],AY_err[-],AZ_err[-],GX_err[-],GY_err[-],GZ_err[-],LPF_ACC_err[-],LPF_GYR_err[-],AX_OFFSET_err[-],AY_OFFSET_err[-],AZ_OFFSET_err[-],GX_OFFSET_err[-],GY_OFFSET_err[-],GZ_OFFSET_err[-],EX_OFFSET_err[-],EY_OFFSET_err[-],EZ_OFFSET_err[-],SETTING_DATA_READ_err[-],PPS_INTV_err[-],MEG_INTV_err[-],CHK_SUM_err[-],INIT_err[-],SET_MODE_err[-],SEND_err[-],RECEIVE_err[-],AIRSPEED[m/s],WINDN[m/s],WINDE[m/s],WINDD[m/s],SD_DETECT[-],LOG_NUMBER[-],LOGGING_MODE[-],LOGGING_EN[-],CPU_USED[%],MEMORY_USED[%],
902857,1,902161797,0,4.400000095367432,-1.48583984375,-1.3947334289550781,22.344999313354492,999.3604125976562,2.4757635593414307,21.5953311920166,82.79087829589844,1.1722829341888428,43.25,-0.5395500063896179,-0.16676999628543854,9.888480186462402,0.8399999737739563,-0.41999998688697815,-0.07000000029802322,-0.8750287890434265,3.3492696285247803,152.43873596191406,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,4.400000095367432,169.82666015625,54.0966796875,22.344999313354492,999.38037109375,0.0,21.5953311920166,82.79087829589844,1.225000023841858,43.25,-0.5395500063896179,-0.16676999628543854,9.888480186462402,0.8399999737739563,-0.41999998688697815,-0.07000000029802322,-0.8750287890434265,3.3492696285247803,152.43873596191406,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-171.3125,-55.49141311645508,1.0,0.0,1.0,False,999.638427734375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,2.739839553833008,0.5133434534072876,-0.3894073963165283,0.13638761639595032,True,3,1,True,76,56,
902918,1,902161797,0,4.166666507720947,-1.4638671875,-1.4606513977050781,22.334999084472656,999.3578491210938,2.4923415184020996,21.6380558013916,82.80155944824219,1.1720842123031616,43.25,-0.6572700142860413,-0.16676999628543854,9.94734001159668,0.41999998688697815,-0.6299999952316284,0.0,-0.8823698163032532,3.4671542644500732,152.43295288085938,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,4.166666507720947,169.8486328125,54.03076171875,22.334999084472656,999.341064453125,0.0,21.6380558013916,82.80155944824219,1.225000023841858,43.25,-0.6572700142860413,-0.16676999628543854,9.94734001159668,0.41999998688697815,-0.6299999952316284,0.0,-0.8823698163032532,3.4671542644500732,152.43295288085938,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-171.3125,-55.49141311645508,1.0,0.0,1.0,False,999.638427734375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,2.666428565979004,0.4065263569355011,-0.2765626013278961,-0.021528154611587524,True,3,1,True,53,56,
902978,1,902161797,0,4.300000190734863,-1.44189453125,-1.4386787414550781,22.334999084472656,999.3585205078125,2.4918673038482666,21.581979751586914,82.77714538574219,1.1723432540893555,43.2400016784668,-0.5885999798774719,-0.09809999912977219,9.859049797058105,0.5600000023841858,-0.20999999344348907,-0.14000000059604645,-0.7201693654060364,3.3015527725219727,152.4429931640625,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,4.300000190734863,169.87060546875,54.052734375,22.334999084472656,999.375732421875,0.0,21.581979751586914,82.77714538574219,1.225000023841858,43.2400016784668,-0.5885999798774719,-0.09809999912977219,9.859049797058105,0.5600000023841858,-0.20999999344348907,-0.14000000059604645,-0.7201693654060364,3.3015527725219727,152.4429931640625,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-171.3125,-55.49141311645508,1.0,0.0,1.0,False,999.638427734375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,2.70845627784729,0.494337260723114,-0.29137787222862244,0.04517686367034912,True,3,1,True,53,56,
903038,1,902161797,0,3.866666555404663,-1.4638671875,-1.3947334289550781,22.350000381469727,999.3648071289062,2.4271130561828613,21.5953311920166,82.76951599121094,1.1722917556762695,43.2400016784668,-0.5885999798774719,-0.19619999825954437,9.8100004196167,0.3499999940395355,-0.49000000953674316,0.14000000059604645,-1.0823473930358887,3.4582247734069824,152.4200897216797,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,3.866666555404663,169.8486328125,54.0966796875,22.350000381469727,999.40185546875,0.0,21.5953311920166,82.76951599121094,1.225000023841858,43.2400016784668,-0.5885999798774719,-0.19619999825954437,9.8100004196167,0.3499999940395355,-0.49000000953674316,0.14000000059604645,-1.0823473930358887,3.4582247734069824,152.4200897216797,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-171.3125,-55.49141311645508,1.0,0.0,1.0,False,999.638427734375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,2.5684168338775635,0.5237855911254883,-0.45553117990493774,-0.012057602405548096,True,3,1,True,53,56,
903098,1,902161797,0,3.799999952316284,-1.5078125,-1.4826240539550781,22.3700008392334,999.3606567382812,2.4648406505584717,21.581979751586914,82.75578308105469,1.172349452972412,43.25,-0.578790009021759,-0.16676999628543854,9.790379524230957,0.8399999737739563,-0.49000000953674316,-0.07000000029802322,-1.054505705833435,3.3961503505706787,152.4196014404297,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,3.799999952316284,169.8046875,54.0087890625,22.3700008392334,999.361083984375,0.0,21.581979751586914,82.75578308105469,1.225000023841858,43.25,-0.578790009021759,-0.16676999628543854,9.790379524230957,0.8399999737739563,-0.49000000953674316,-0.07000000029802322,-1.054505705833435,3.3961503505706787,152.4196014404297,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-171.3125,-55.49141311645508,1.0,0.0,1.0,False,999.638427734375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,2.546116352081299,0.27411484718322754,-0.21922507882118225,-0.02389872819185257,True,3,1,True,53,56,
903158,1,902161797,0,4.0,-1.44189453125,-1.5485420227050781,22.350000381469727,999.3675537109375,2.404924154281616,21.525901794433594,82.75120544433594,1.172613501548767,43.2599983215332,-0.5395500063896179,-0.14714999496936798,9.878669738769531,0.3499999940395355,-0.2800000011920929,0.0,-0.9970898032188416,3.2850146293640137,152.4209442138672,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,4.0,169.87060546875,53.94287109375,22.350000381469727,999.300048828125,0.0,21.525901794433594,82.75120544433594,1.225000023841858,43.2599983215332,-0.5395500063896179,-0.14714999496936798,9.878669738769531,0.3499999940395355,-0.2800000011920929,0.0,-0.9970898032188416,3.2850146293640137,152.4209442138672,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-171.3125,-55.49141311645508,1.0,0.0,1.0,False,999.638427734375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,2.611966133117676,0.23258516192436218,-0.10127823799848557,-0.24700389802455902,True,3,1,True,53,56,
903218,1,903161814,0,3.5833332538604736,-1.4638671875,-1.5485420227050781,22.325000762939453,999.365966796875,2.4107871055603027,21.581979751586914,82.72830963134766,1.1723594665527344,43.2599983215332,-0.627839982509613,-0.1373399943113327,9.917909622192383,0.699999988079071,-0.49000000953674316,-0.07000000029802322,-0.7813438773155212,3.6213271617889404,152.43997192382812,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,3.5833332538604736,169.8486328125,53.94287109375,22.325000762939453,999.2939453125,0.0,21.581979751586914,82.72830963134766,1.225000023841858,43.2599983215332,-0.627839982509613,-0.1373399943113327,9.917909622192383,0.699999988079071,-0.49000000953674316,-0.07000000029802322,-0.7813438773155212,3.6213271617889404,152.43997192382812,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-171.3125,-55.49141311645508,1.0,0.0,1.0,False,999.638427734375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,2.4724538326263428,0.23052969574928284,-0.1248696893453598,-0.1276472955942154,True,3,1,True,53,56,
903278,1,903161814,0,3.566666603088379,-1.5517578125,-1.5265693664550781,22.354999542236328,999.36865234375,2.3886029720306396,21.512550354003906,82.74967193603516,1.1726768016815186,43.25,-0.5885999798774719,-0.11772000044584274,9.859049797058105,0.5600000023841858,-0.699999988079071,-0.07000000029802322,-0.773551881313324,3.4697916507720947,152.43325805664062,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,3.566666603088379,169.7607421875,53.96484375,22.354999542236328,999.417724609375,0.0,21.512550354003906,82.74967193603516,1.225000023841858,43.25,-0.5885999798774719,-0.11772000044584274,9.859049797058105,0.5600000023841858,-0.699999988079071,-0.07000000029802322,-0.773551881313324,3.4697916507720947,152.43325805664062,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-171.3125,-55.49141311645508,1.0,0.0,1.0,False,999.638427734375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,2.4663634300231934,0.10866116732358932,-0.06563542783260345,0.043481774628162384,True,3,1,True,53,56,
903338,1,903161814,0,3.75,-1.595703125,-1.4826240539550781,22.329999923706055,999.3713989257812,2.367093801498413,21.525901794433594,82.7328872680664,1.1726207733154297,43.2599983215332,-0.627839982509613,-0.11772000044584274,9.927720069885254,0.20999999344348907,-0.41999998688697815,0.07000000029802322,-0.6770778298377991,3.528015613555908,152.44107055664062,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,3.75,169.716796875,54.0087890625,22.329999923706055,999.358642578125,0.0,21.525901794433594,82.7328872680664,1.225000023841858,43.2599983215332,-0.627839982509613,-0.11772000044584274,9.927720069885254,0.20999999344348907,-0.41999998688697815,0.07000000029802322,-0.6770778298377991,3.528015613555908,152.44107055664062,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-171.3125,-55.49141311645508,1.0,0.0,1.0,False,999.638427734375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,2.529017448425293,0.0840417742729187,-0.05038130655884743,0.19504375755786896,True,3,1,True,53,56,
903398,1,903161814,0,3.383333444595337,-1.57373046875,-1.5485420227050781,22.344999313354492,999.3701171875,2.372605562210083,21.53925323486328,82.75578308105469,1.1725565195083618,43.2599983215332,-0.6572700142860413,-0.14714999496936798,9.878669738769531,0.14000000059604645,-0.49000000953674316,-0.20999999344348907,-0.9495183825492859,3.4445743560791016,152.418701171875,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,3.383333444595337,169.73876953125,53.94287109375,22.344999313354492,999.3125,0.0,21.53925323486328,82.75578308105469,1.225000023841858,43.2599983215332,-0.6572700142860413,-0.14714999496936798,9.878669738769531,0.14000000059604645,-0.49000000953674316,-0.20999999344348907,-0.9495183825492859,3.4445743560791016,152.418701171875,0,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,True,True,True,True,True,1,-171.3125,-55.49141311645508,1.0,0.0,1.0,False,999.638427734375,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,2.4022626876831055,0.03873996436595917,-0.03207005560398102,0.035120368003845215,True,3,1,True,53,56,
