SYS_TIME[ms],T_CNT[us],T_PPS[us],T_CAN_RSV[us],DP[Pa],AOA[deg],AOS[deg],T_DP_SENSOR[degC],PS[hPa],H_PS[m],TAT[degC],HUM[%],RHO[kg/m^3],T_PS_SENSOR[degC],AX[m/s^2],AY[m/s^2],AZ[m/s^2],GX[deg/s],GY[deg/s],GZ[deg/s],EX[deg],EY[deg],EZ[deg],MICROSECONDS_PPS[us],cls[-],id[-],len[-],iTOW[ms],year[y],month[month],day[d],hour[h],minute[min],sec[s],valid[-],tAcc[ns],nano[ns],fixType[-],flags[-],flags2[-],numSV[-],lon[10^7 deg],lat[10^7 deg],height[mm],hMSL[mm],hAcc[mm],vAcc[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[10^5 deg],sAcc[mm/s],headAcc[10^5 deg],pDOP[-],reserved1[-],headVeh[10^5 deg],reserved2[-],DP_raw[Pa],AOA_raw[deg],AOS_raw[deg],T_DP_SENSOR_raw[degC],PS_raw[hPa],H_PS_raw[m],TAT_raw[degC],HUM_raw[%],RHO_raw[kg/m^3],T_PS_SENSOR_raw[degC],AX_raw[m/s^2],AY_raw[m/s^2],AZ_raw[m/s^2],GX_raw[deg/s],GY_raw[deg/s],GZ_raw[deg/s],EX_raw[deg],EY_raw[deg],EZ_raw[deg],MICROSECONDS_PPS_raw[us],cls_raw[-],id_raw[-],len_raw[-],iTOW_raw[ms],year_raw[y],month_raw[month],day_raw[d],hour_raw[h],minute_raw[min],sec_raw[s],valid_raw[-],tAcc_raw[ns],nano_raw[ns],fixType_raw[-],flags_raw[-],flags2_raw[-],numSV_raw[-],lon_raw[10^7 deg],lat_raw[10^7 deg],height_raw[mm],hMSL_raw[mm],hAcc_raw[mm],vAcc_raw[mm],velN_raw[mm/s],velE_raw[mm/s],velD_raw[mm/s],gSpeed_raw[mm/s],headMot_raw[10^5 deg],sAcc_raw[mm/s],headAcc_raw[10^5 deg],pDOP_raw[-],reserved1_raw[-],headVeh_raw[10^5 deg],reserved2_raw[-],ROLL[deg],PITCH[deg],YAW[deg],H_US[-],ELEV[-],RUDD[-],AIR_DATA_EN[-],ENV_DATA_EN[-],IMU_DATA_EN[-],GPS_DATA_EN[-],LOGGING_EN[-],LOGGING_MODE[-],AOA_OFFSET[deg],AOS_OFFSET[deg],DP_GAIN[-],DP_OFFSET[Pa],LPF_DP[-],LPF_SW[-],PS_INIT_VAL[hPa],H_PS_OFFSET[m],LPF_PS[-],LPF_SW[-],AX_OFFSET[m/s^2],AY_OFFSET[m/s^2],AZ_OFFSET[m/s^2],GX_OFFSET[deg/s],GY_OFFSET[deg/s],GZ_OFFSET[deg/s],EX_OFFSET[deg],EY_OFFSET[deg],EZ_OFFSET[deg],LPF_ACC[-],LPF_GYR[-],LPF_ACC_SW[-],LPF_GYR_SW[-],DP_err[-],AOA_err[-],AOS_err[-],T_DP_SENSOR_err[-],DP_GAIN_err[-],DP_OFFSET_err[-],AOA_OFFSET_err[-],AOS_OFFSET_err[-],LPF_DP_err[-],DP_I2C_err[-],AOA_I2C_err[-],AOS_I2C_err[-],SETTING_DATA_READ_err[-],PS_err[-],T_PS_SENSOR_err[-],TAT_err[-],HUM_err[-],PS_INIT_VAL_err[-],H_PS_OFFSET_err[-],H_PS_err[-],RHO_err[-],LPF_PS_err[-],ENV_I2C_err[-],SETTING_DATA_READ_err[-],AX_err[-],AY_err[-],AZ_err[-],GX_err[-],GY_err[-],GZ_err[-],LPF_ACC_err[-],LPF_GYR_err[-],AX_OFFSET_err[-],AY_OFFSET_err[-],AZ_OFFSET_err[-],GX_OFFSET_err[-],GY_OFFSET_err[-],GZ_OFFSET_err[-],EX_OFFSET_err[-],EY_OFFSET_err[-],EZ_OFFSET_err[-],SETTING_DATA_READ_err[-],PPS_INTV_err[-],MEG_INTV_err[-],CHK_SUM_err[-],INIT_err[-],SET_MODE_err[-],SEND_err[-],RECEIVE_err[-],AIRSPEED[m/s],WINDN[m/s],WINDE[m/s],WINDD[m/s],SD_DETECT[-],LOG_NUMBER[-],LOGGING_MODE[-],LOGGING_EN[-],CPU_USED[%],MEMORY_USED[%],
3618,1,0,1953500,0.01666666753590107,-5.241455078125,-58.3828125,33.97999954223633,997.6143188476562,0.011253033764660358,33.64118576049805,65.88388061523438,1.1186999082565308,34.869998931884766,-0.8240399956703186,0.755370020866394,9.711899757385254,0.41999998688697815,-0.699999988079071,0.3499999940395355,3.954162120819092,0.9461256861686707,-179.37693786621094,0,1,7,92,519427100,2022,7,23,0,16,49,55,8103786,100006685,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589248,0,0,0,0,0,20000,18000000,9999,,0,,0.01666666753590107,163.54248046875,146.07421875,33.97999954223633,997.5771484375,0.0,33.64118576049805,65.88388061523438,1.225000023841858,34.869998931884766,-0.8240399956703186,0.755370020866394,9.711899757385254,0.41999998688697815,-0.699999988079071,0.3499999940395355,3.954162120819092,0.9461256861686707,-179.37693786621094,0,1,7,92,519427100,2022,7,23,0,16,49,55,8103786,100006685,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589248,0,0,0,0,0,20000,18000000,9999,,0,,0.0,0.0,0.0,211,2159,2110,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,997.6155395507812,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1726166158914566,-0.06416772305965424,0.0641212910413742,0.0697159469127655,True,1,1,True,56,56,
3681,1,0,3670270,0.0,-5.329345703125,-58.294921875,33.959999084472656,997.6217651367188,-0.0562470480799675,33.542381286621094,65.80148315429688,1.1191684007644653,34.869998931884766,0.029430000111460686,0.9319499731063843,9.38817024230957,-0.07000000029802322,0.0,-1.4700000286102295,3.9490091800689697,0.6090213060379028,-179.36990356445312,0,1,7,92,519427200,2022,7,23,0,16,49,55,8103786,200006678,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,163.45458984375,146.162109375,33.959999084472656,997.633544921875,0.0,33.542381286621094,65.80148315429688,1.225000023841858,34.869998931884766,0.029430000111460686,0.9319499731063843,9.38817024230957,-0.07000000029802322,0.0,-1.4700000286102295,3.9490091800689697,0.6090213060379028,-179.36990356445312,0,1,7,92,519427200,2022,7,23,0,16,49,55,8103786,200006678,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,0.0,0.0,197,2156,2113,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,997.6155395507812,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0,0.0,0.0,-0.0,True,1,1,True,54,56,
3741,1,0,3711282,0.0,-5.395263671875,-58.3388671875,34.02000045776367,997.6190185546875,-0.03093722276389599,33.55573272705078,65.85794067382812,1.1190929412841797,34.880001068115234,0.2746799886226654,0.6670799851417542,9.554940223693848,1.4700000286102295,-0.7699999809265137,1.190000057220459,3.904165267944336,0.7501472234725952,-179.3397979736328,0,1,7,92,519427300,2022,7,23,0,16,49,55,8103786,300006672,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,163.388671875,146.1181640625,34.02000045776367,997.642333984375,0.0,33.55573272705078,65.85794067382812,1.225000023841858,34.880001068115234,0.2746799886226654,0.6670799851417542,9.554940223693848,1.4700000286102295,-0.7699999809265137,1.190000057220459,3.904165267944336,0.7501472234725952,-179.3397979736328,0,1,7,92,519427300,2022,7,23,0,16,49,55,8103786,300006672,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,0.0,0.0,214,2157,2112,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,997.6155395507812,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0,0.0,0.0,-0.0,True,1,1,True,55,56,
3801,1,0,3794773,0.03333333507180214,-5.153564453125,-58.40478515625,33.98500061035156,997.6162109375,-0.005623921286314726,33.499656677246094,65.90219116210938,1.1193304061889648,34.88999938964844,-0.7455599904060364,0.5689799785614014,9.927720069885254,0.20999999344348907,-0.3499999940395355,0.20999999344348907,3.924729108810425,0.9846308827400208,-179.36550903320312,0,1,7,92,519427300,2022,7,23,0,16,49,55,8103786,300006672,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.03333333507180214,163.63037109375,146.05224609375,33.98500061035156,997.68310546875,0.0,33.499656677246094,65.90219116210938,1.225000023841858,34.88999938964844,-0.7455599904060364,0.5689799785614014,9.927720069885254,0.20999999344348907,-0.3499999940395355,0.20999999344348907,3.924729108810425,0.9846308827400208,-179.36550903320312,0,1,7,92,519427300,2022,7,23,0,16,49,55,8103786,300006672,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,0.0,0.0,213,2159,2112,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,997.6155395507812,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.24404798448085785,-0.08365842700004578,0.07809379696846008,0.08781074732542038,True,1,1,True,53,56,
3861,1,0,3835935,-0.01666666753590107,-5.241455078125,-58.40478515625,34.0,997.6096801757812,0.0506293959915638,33.585105895996094,65.85183715820312,1.1189525127410889,34.88999938964844,0.05886000022292137,0.8338500261306763,9.790379524230957,0.14000000059604645,0.14000000059604645,-0.9800000190734863,4.073648452758789,0.7609230875968933,-179.33775329589844,0,1,7,92,519427400,2022,7,23,0,16,49,55,8103786,400006666,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589256,0,0,0,0,0,20000,18000000,9999,,0,,-0.01666666753590107,163.54248046875,146.05224609375,34.0,997.515869140625,0.0,33.585105895996094,65.85183715820312,1.225000023841858,34.88999938964844,0.05886000022292137,0.8338500261306763,9.790379524230957,0.14000000059604645,0.14000000059604645,-0.9800000190734863,4.073648452758789,0.7609230875968933,-179.33775329589844,0,1,7,92,519427400,2022,7,23,0,16,49,55,8103786,400006666,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,0.0,0.0,193,2158,2111,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,997.6155395507812,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17259712517261505,-0.04840812087059021,0.05126176401972771,0.08361821621656418,True,1,1,True,55,56,
3922,1,0,3919282,-0.03333333507180214,-5.307373046875,-58.3388671875,33.974998474121094,997.6054077148438,0.08998274058103561,33.499656677246094,65.7389144897461,1.1193546056747437,34.900001525878906,0.05886000022292137,0.6082199811935425,9.770759582519531,1.4700000286102295,-0.8399999737739563,1.0499999523162842,3.97153902053833,0.9526583552360535,-179.30755615234375,0,1,7,92,519427400,2022,7,23,0,16,49,55,8103786,400006666,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589256,0,0,0,0,0,20000,18000000,9999,,0,,-0.03333333507180214,163.4765625,146.1181640625,33.974998474121094,997.609375,0.0,33.499656677246094,65.7389144897461,1.225000023841858,34.900001525878906,0.05886000022292137,0.6082199811935425,9.770759582519531,1.4700000286102295,-0.8399999737739563,1.0499999523162842,3.97153902053833,0.9526583552360535,-179.30755615234375,0,1,7,92,519427400,2022,7,23,0,16,49,55,8103786,400006666,0,0,4,0,1362544311,352915765,131518,96724,132355184,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,0.0,0.0,196,2159,2110,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,997.6155395507812,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.24404534697532654,-0.09831556677818298,0.10043899714946747,0.09855809062719345,True,1,1,True,54,56,
3982,1,0,3960688,0.05000000074505806,-5.373291015625,-58.3828125,34.02000045776367,997.6061401367188,0.08439334481954575,33.62516403198242,65.95864868164062,1.1187453269958496,34.900001525878906,-0.7259399890899658,0.5984100103378296,9.976770401000977,0.2800000011920929,-0.699999988079071,0.6299999952316284,3.9062931537628174,1.1517099142074585,-179.31753540039062,0,1,7,92,519427500,2022,7,23,0,16,49,55,8103786,500006660,0,0,4,0,1362544311,352915765,131518,96724,132355200,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.05000000074505806,163.41064453125,146.07421875,34.02000045776367,997.55810546875,0.0,33.62516403198242,65.95864868164062,1.225000023841858,34.900001525878906,-0.7259399890899658,0.5984100103378296,9.976770401000977,0.2800000011920929,-0.699999988079071,0.6299999952316284,3.9062931537628174,1.1517099142074585,-179.31753540039062,0,1,7,92,519427500,2022,7,23,0,16,49,55,8103786,500006660,0,0,4,0,1362544311,352915765,131518,96724,132355200,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,0.0,0.0,191,2158,2109,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,997.6155395507812,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2989746630191803,-0.14992475509643555,0.14611205458641052,0.11159875243902206,True,1,1,True,54,56,
4042,1,0,4002092,0.0,-5.197509765625,-58.3388671875,33.98500061035156,997.6114501953125,0.033751167356967926,33.56908416748047,65.77096557617188,1.1190440654754639,34.90999984741211,0.15695999562740326,0.8142300248146057,9.368550300598145,0.2800000011920929,-0.41999998688697815,-0.699999988079071,3.910226583480835,0.7774202227592468,-179.29074096679688,0,1,7,92,519427600,2022,7,23,0,16,49,55,8103786,600006653,0,0,4,0,1362544311,352915765,131518,96724,132355200,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,163.58642578125,146.1181640625,33.98500061035156,997.584716796875,0.0,33.56908416748047,65.77096557617188,1.225000023841858,34.90999984741211,0.15695999562740326,0.8142300248146057,9.368550300598145,0.2800000011920929,-0.41999998688697815,-0.699999988079071,3.910226583480835,0.7774202227592468,-179.29074096679688,0,1,7,92,519427600,2022,7,23,0,16,49,55,8103786,600006653,0,0,4,0,1362544311,352915765,131518,96724,132355200,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,0.0,0.0,193,2159,2113,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,997.6155395507812,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0,0.0,0.0,-0.0,True,1,1,True,54,56,
4102,1,0,4085336,0.05000000074505806,-5.373291015625,-58.31689453125,34.0,997.6076049804688,0.07311797887086868,33.529029846191406,65.83047485351562,1.1192052364349365,34.91999816894531,-0.3335399925708771,0.5689799785614014,9.780570030212402,1.190000057220459,-0.9800000190734863,1.399999976158142,3.665757894515991,1.3617513179779053,-179.27334594726562,0,1,7,92,519427600,2022,7,23,0,16,49,55,8103786,600006653,0,0,4,0,1362544311,352915765,131518,96724,132355200,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.05000000074505806,163.41064453125,146.14013671875,34.0,997.63818359375,0.0,33.529029846191406,65.83047485351562,1.225000023841858,34.91999816894531,-0.3335399925708771,0.5689799785614014,9.780570030212402,1.190000057220459,-0.9800000190734863,1.399999976158142,3.665757894515991,1.3617513179779053,-179.27334594726562,0,1,7,92,519427600,2022,7,23,0,16,49,55,8103786,600006653,0,0,4,0,1362544311,352915765,131518,96724,132355200,93589256,0,0,0,0,0,20000,18000000,9999,,0,,0.0,0.0,0.0,211,2157,2112,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,997.6155395507812,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.29891324043273926,-0.14404350519180298,0.17202183604240417,0.06220950931310654,True,1,1,True,53,56,
4162,1,0,4126930,-0.01666666753590107,-5.197509765625,-58.294921875,34.005001068115234,997.60693359375,0.07875272631645203,33.56908416748047,65.80606079101562,1.1190311908721924,34.91999816894531,-0.3237299919128418,0.6474599838256836,9.790379524230957,0.41999998688697815,-0.5600000023841858,0.0,3.78912353515625,1.1129965782165527,-179.27291870117188,0,1,7,92,519427700,2022,7,23,0,16,49,55,8103786,700006647,0,0,4,0,1362544311,352915765,131518,96724,132355200,93589264,0,0,0,0,0,20000,18000000,9999,,0,,-0.01666666753590107,163.58642578125,146.162109375,34.005001068115234,997.576904296875,0.0,33.56908416748047,65.80606079101562,1.225000023841858,34.91999816894531,-0.3237299919128418,0.6474599838256836,9.790379524230957,0.41999998688697815,-0.5600000023841858,0.0,3.78912353515625,1.1129965782165527,-179.27291870117188,0,1,7,92,519427700,2022,7,23,0,16,49,55,8103786,700006647,0,0,4,0,1362544311,352915765,131518,96724,132355200,93589264,0,0,0,0,0,20000,18000000,9999,,0,,0.0,0.0,0.0,212,2159,2110,True,True,True,True,True,1,-168.783935546875,155.54295349121094,1.0,0.0,1.0,False,997.6155395507812,0.0,0.05000000074505806,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17259106040000916,-0.06406547129154205,0.06988068670034409,0.04312461242079735,True,1,1,True,55,56,
