# Time (s), Longitude (deg), Latitude (deg), Altitude (m), Ground Speed N (m/s), Ground Speed E (m/s), Ground Speed D (m/s), Yaw (deg), Pitch (deg), Roll (deg)
23647.666,136.2544519,35.2941749,130.631,0.01,0,-0.02,0.61,-1.39,0.31
23647.676,136.2544519,35.2941749,130.631,0.01,0,-0.02,0.61,-1.39,0.31
23647.687,136.254452,35.2941748,130.574,0.01,0,-0.02,0.61,-1.4,0.3
23647.699,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.4,0.3
23647.707,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.4,0.3
23647.717,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.4,0.31
23647.729,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.4,0.31
23647.737,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.4,0.31
23647.746,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.39,0.31
23647.759,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.39,0.3
23647.767,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.38,0.3
23647.777,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.38,0.3
23647.786,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.37,0.3
23647.796,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.37,0.29
23647.806,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.61,-1.36,0.29
23647.816,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.62,-1.36,0.29
23647.826,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.62,-1.36,0.28
23647.836,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.62,-1.36,0.28
23647.846,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.62,-1.36,0.27
23647.856,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.62,-1.36,0.27
23647.866,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.62,-1.36,0.26
23647.876,136.254452,35.2941748,130.574,-0.02,0.02,-0.01,0.62,-1.36,0.26
23647.887,136.2544517,35.2941747,130.591,-0.02,0.02,-0.01,0.62,-1.37,0.26
23647.897,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.37,0.25
23647.909,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.38,0.25
23647.917,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.39,0.25
23647.927,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.39,0.25
23647.939,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.4,0.25
23647.947,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.4,0.24
23647.957,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.4,0.24
23647.968,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.41,0.23
23647.976,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.42,0.23
23647.986,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.42,0.22
23647.996,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.43,0.22
23648.006,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.44,0.22
23648.016,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.45,0.21
23648.026,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.46,0.21
23648.036,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.46,0.21
23648.046,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.47,0.2
23648.056,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.47,0.2
23648.066,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.48,0.19
23648.076,136.2544517,35.2941747,130.591,0.02,0.02,0,0.62,-1.48,0.18
23648.087,136.2544513,35.2941745,130.602,-0.03,0.02,0,0.62,-1.49,0.18
23648.097,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.49,0.17
23648.107,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.5,0.17
23648.117,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.5,0.16
23648.127,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.5,0.16
23648.137,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.5,0.15
23648.147,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.5,0.15
23648.157,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.49,0.14
23648.166,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.49,0.14
23648.176,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.49,0.13
23648.186,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.49,0.13
23648.196,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.49,0.13
23648.206,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.48,0.12
23648.216,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.47,0.12
23648.226,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.46,0.11
23648.236,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.45,0.11
23648.246,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.62,-1.43,0.1
23648.256,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.61,-1.42,0.1
23648.266,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.61,-1.41,0.1
23648.276,136.2544513,35.2941745,130.602,-0.03,-0.01,0,0.61,-1.4,0.09
23648.287,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.38,0.08
23648.299,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.37,0.08
23648.307,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.36,0.07
23648.316,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.35,0.07
23648.329,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.34,0.06
23648.337,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.34,0.06
23648.347,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.33,0.06
23648.359,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.32,0.06
23648.367,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.32,0.06
23648.376,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.31,0.06
23648.386,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.61,-1.31,0.06
23648.397,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.6,-1.3,0.05
23648.406,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.6,-1.3,0.05
23648.416,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.6,-1.3,0.05
23648.426,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.6,-1.3,0.05
23648.436,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.59,-1.3,0.04
23648.446,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.59,-1.3,0.04
23648.456,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.59,-1.3,0.03
23648.466,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.59,-1.31,0.03
23648.476,136.2544512,35.2941745,130.598,0.01,0,-0.01,0.59,-1.31,0.02
23648.487,136.2544511,35.2941744,130.608,0.01,0,-0.01,0.59,-1.31,0.02
