time[s],raw_a_x[m/s^2],raw_a_y[m/s^2],raw_a_z[m/s^2],Yaw[deg],Pitch[deg],Roll[deg],a_x[m/s^2],a_y[m/s^2],a_z[m/s^2],気圧[hPa],気温[度],相対高度[m],適当な過重[kg],対気速度[m/s],GPS時間[hh:mm:ss.000],GPS速さ[m/s],進行角[deg],北緯[deg],東経[deg],北緯[m],東経[m],GPS高さ[m],ドリフト角[deg]
1528.348156,-0.304466,-0.071328,9.829098,316.187522,-2.258205,1.420466,-0.172809,-0.082038,0.025145,996.18,30.2,-389.699902,0.000002,1.339558,33:49.7,0.010289,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.427522
1528.357006,-0.325305,-0.060832,9.74352,316.187522,-2.258205,1.420466,-0.159224,-0.103751,-0.059783,996.18,30.2,-389.699902,0.000002,1.339558,33:49.7,0.010289,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.427522
1528.367445,-0.357023,-0.052787,9.731261,316.187522,-2.258205,1.420466,-0.13903,-0.129981,-0.070978,996.19,30.2,-389.789325,0.000002,1.339551,33:49.7,0.010289,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.427522
1528.376049,-0.355185,-0.056388,9.747121,316.187522,-2.258205,1.420466,-0.138936,-0.125937,-0.055118,996.19,30.2,-389.789325,0.000002,1.339551,33:49.8,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.427522
1528.385595,-0.348826,-0.056388,9.78673,316.18755,-2.264804,1.422801,-0.146841,-0.121335,-0.01584,996.19,30.2,-389.789325,0.000002,1.339551,33:49.8,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.42755
1528.396056,-0.326684,-0.052404,9.834231,316.18755,-2.264804,1.422801,-0.168761,-0.110287,0.030638,996.14,30.2,-389.3422,0.000002,1.339585,33:49.8,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.42755
1528.405607,-0.306381,-0.056082,9.917588,316.187498,-2.273731,1.418537,-0.186849,-0.092684,0.113176,996.14,30.2,-389.3422,0.000002,1.339585,33:49.8,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.427498
1528.415849,-0.289756,-0.06788,9.936128,316.187498,-2.273731,1.418537,-0.193244,-0.072962,0.13133,996.14,30.2,-389.3422,0.000002,0,33:49.8,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.427498
1528.423355,-0.291135,-0.075618,9.925173,316.187526,-2.28033,1.420872,-0.187955,-0.067459,0.120586,996.14,30.2,-389.3422,0.000002,0,33:49.8,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.427526
1528.430578,-0.28876,-0.084429,9.88564,316.187473,-2.289258,1.416609,-0.183177,-0.057792,0.081192,996.14,30.2,-389.3422,0.000002,0,33:49.8,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.427473
1528.439339,-0.295732,-0.096764,9.828025,316.187473,-2.289258,1.416609,-0.167337,-0.052895,0.024222,996.13,30.2,-389.252771,0.000002,0,33:49.8,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.427473
1528.447717,-0.312434,-0.099599,9.793626,316.193974,-2.295696,1.418909,-0.152107,-0.060961,-0.008318,996.13,30.2,-389.252771,0.000002,0,33:49.8,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.433974
1528.457618,-0.319865,-0.096611,9.786041,316.194002,-2.302295,1.421244,-0.148973,-0.067597,-0.015712,996.14,30.2,-389.3422,0.000002,1.339585,33:49.8,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.434002
1528.467268,-0.338253,-0.088796,9.787573,316.193947,-2.311222,1.416981,-0.140374,-0.083683,-0.013656,996.14,30.2,-389.3422,0.000002,0,33:49.9,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.433947
1528.475196,-0.358249,-0.076385,9.794238,316.194001,-2.32442,1.421651,-0.135173,-0.105056,-0.006576,996.14,30.2,-389.3422,0.000002,0,33:49.9,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.434001
1528.485791,-0.365221,-0.069643,9.801747,316.193944,-2.333347,1.417388,-0.135063,-0.113106,0.001024,996.14,30.2,-389.3422,0.000002,0,33:49.9,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.433944
1528.495349,-0.352426,-0.067267,9.792706,316.19397,-2.339947,1.419723,-0.147203,-0.106589,-0.008626,996.14,30.2,-389.3422,0.000002,0,33:49.9,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.43397
1528.505622,-0.319789,-0.079909,9.797456,316.194023,-2.353145,1.424394,-0.167141,-0.075445,-0.004989,996.14,30.2,-389.3422,0.000002,0,33:49.9,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.434023
1528.515405,-0.314962,-0.091937,9.777,316.193964,-2.362072,1.420131,-0.16311,-0.061659,-0.025345,996.14,30.2,-389.3422,0.000002,0,33:49.9,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.433964
1528.52264,-0.316341,-0.103659,9.752943,316.193991,-2.368672,1.422466,-0.154667,-0.053159,-0.04907,996.14,30.2,-389.3422,0.000002,0,33:49.9,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.433991
1528.530829,-0.322011,-0.113083,9.752943,316.19393,-2.377599,1.418203,-0.145079,-0.047857,-0.048628,996.16,30.2,-389.521053,0.000002,0,33:49.9,0.015433,125.76,35.294158,136.254425,3921908.736,12377553.92,101.2,-190.43393
