# Time[msec],ラダー舵角[deg],エレベーター舵角[deg],加速度(X軸)[m/s^2],加速度(Y軸)[m/s^2],加速度(Z軸)[m/s^2],角速度(X軸)[deg/sec],角速度(Y軸)[deg/sec],角速度(Z軸)[deg/sec],荷重(2Hzローパス)[G],ロール[deg],ピッチ[deg],ヨー[deg],緯度[deg],経度[deg],進行角[deg],対地速度(北方向)[m/s],対地速度(東方向)[m/s],対地速度(下方向)[m/s],対地速度の大きさ[m/s],対気速度[m/s],AoA[deg],AoS[deg],気温[degC],動圧[Pa],大気圧[hPa],湿度[%],大気密度[kg/m^3],北方向風速[m/s],東方向風速[m/s],下方向風速[m/s],風速[m/s],高度[m]
0.00000000,-0.20252237,-0.26190487,-0.28283160,-0.08032517,9.86149172,-0.78909095,-0.98000002,0.34999995,1.00370290,1.42046600,-2.25820500,299.39000000,35.29418260,136.25447323,527.63336523,-0.12314493,0.02700000,0.01333333,0.13353378,2.69649625,-3.99257555,-43.83831871,36.18956884,4.03333330,997.31105557,56.21451049,1.10939805,2.70621116,-0.77801382,-0.11830785,2.81831174,11.02917558
0.05000000,-0.16472406,-0.26190487,-0.32212408,-0.05265252,9.85113122,-0.81030300,-0.98000002,0.46666667,1.00073252,1.42227323,-2.26590892,299.39000000,35.29418260,136.25447355,505.52130360,-0.05091197,0.03496296,0.00827160,0.06384201,2.65207180,-3.99850061,-43.60779719,36.24330426,3.90061738,997.31374178,56.20634549,1.10916185,2.58841842,-0.78382268,-0.11154635,2.70679340,11.00489700
0.10000000,-0.14090105,-0.28060135,-0.31289925,-0.09959009,9.79305484,-1.11340071,-1.08370371,0.60407407,0.99794790,1.41902430,-2.29600612,299.39000000,35.29418253,136.25447369,505.43362997,-0.03037198,0.02092593,0.01096296,0.03576293,2.69316778,-3.88643863,-43.50676183,36.21337083,4.02345677,997.31147592,56.17572764,1.10929696,2.60632897,-0.78574322,-0.11090909,2.72445296,11.02540798
0.15000000,-0.13756347,-0.27452455,-0.34414175,-0.06889713,9.79357611,-0.85400003,-0.95958333,0.52499999,0.99586747,1.42104815,-2.34309757,299.38000000,35.29418250,136.25447370,511.11341823,-0.02900000,0.01600000,0.01200000,0.03300000,2.68050223,-3.89350586,-43.25777937,36.13604976,3.98712122,997.31235393,56.10938157,1.10965356,2.58952926,-0.78841582,-0.11018841,2.70913322,11.01728302
0.20000000,-0.13756347,-0.26190487,-0.32691317,-0.13468679,9.74910685,-0.15661728,-0.73456789,0.23592592,0.99448926,1.42057318,-2.38429401,299.38000000,35.29418250,136.25447370,500.38740514,-0.02277778,0.01885185,0.01407407,0.03144444,2.64906664,-3.96484918,-42.65348518,36.13032518,3.89338456,997.31543319,56.11058765,1.10968136,2.54491465,-0.80887314,-0.11212427,2.67272112,10.98932557
0.25000000,-0.13914126,-0.26245013,-0.32229464,-0.17347593,9.70220499,0.35765431,-0.70712962,0.07604938,0.99438327,1.41668300,-2.41525300,299.38000000,35.29418250,136.25447370,460.49147701,-0.00500000,0.02700000,0.02000000,0.02700000,2.64158516,-3.97244466,-42.03515625,36.21470169,3.87002754,997.31622765,56.20576011,1.10928939,2.51138705,-0.84192110,-0.11686122,2.65133034,10.98227418
0.30000000,-0.15886018,-0.27452455,-0.30889398,-0.13703136,9.65115798,1.12000001,-0.83999997,0.20999999,0.99564543,1.41668300,-2.41525300,299.38000000,35.29418250,136.25447370,460.49147701,-0.00500000,0.02700000,0.02000000,0.02700000,2.60012507,-3.76899414,-41.83740234,36.20203018,3.75000000,997.31475830,56.13794327,1.10936081,2.46986384,-0.83772798,-0.10847514,2.61032228,10.99558862
0.35000000,-0.15886018,-0.29828884,-0.18634670,-0.17431555,9.81425038,0.40703703,-0.97287039,0.47358026,0.99789282,1.41668300,-2.41525300,299.38000000,35.29418242,136.25447378,489.66571254,-0.03313751,0.03996296,0.02092593,0.05264729,2.68935985,-3.89106445,-41.83740234,36.19198103,4.01234565,997.32023507,56.18032880,1.10940088,2.58222898,-0.87845954,-0.11669748,2.73005786,10.94585467
0.40000000,-0.11152399,-0.26536341,-0.16408237,-0.17121030,9.80776437,0.34999999,-0.81407407,0.43814814,1.00105704,1.41668300,-2.41525300,299.38000000,35.29418232,136.25447388,520.44180460,-0.07162162,0.02544444,0.01581481,0.07699314,2.65448257,-3.86827800,-42.03792317,36.13161385,3.90987645,997.32312565,56.11753262,1.10968322,2.59060052,-0.84427064,-0.10957249,2.72690486,10.91951459
0.45000000,-0.10560437,-0.24203260,-0.22050849,-0.14737390,9.81531694,0.55999999,-0.52499999,0.55999999,1.00406671,1.42094700,-2.40632500,299.38000000,35.29418230,136.25447390,525.79323388,-0.07900000,0.02000000,0.01400000,0.08100000,2.65122735,-3.88984375,-42.23400879,36.12919440,3.89999998,997.32064820,56.08085577,1.10969992,2.59759083,-0.82918385,-0.10882953,2.72889498,10.94199455
